s1,s2,comparison,method,target_null,n_samples,n_pairs,repeats,k,n_test_examples,accuracy_mean,accuracy_median,accuracy_minimum,accuracy_maximum,p_value_mean,p_value_median,p_value_minimum,p_value_maximum,rejection_count,rejection_rate,alpha,result_file
20,5,p-p,paired_mcnemar,H0_dist: P_A = P_B,85,42,100,6,42,0.49880952380952387,0.5,0.35714285714285715,0.6904761904761905,0.6405322265625,0.6875,0.0107421875,1.0,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181035485650Z.json
20,5,p-p,paired_swap_permutation,,85,42,100,6,42,0.49880952380952387,0.5,0.35714285714285715,0.6904761904761905,0.56527,0.5845,0.001,1.0,3,0.03,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__permutation__repeats-100__seed-0__20260817T201057723013Z.json
20,10,s-p,original_binomial_c2st,H0_dist: P_A = P_B,71,71,100,8,72,1.0,1.0,1.0,1.0,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181035837438Z.json
20,10,s-p,paired_mcnemar,H0_dist: P_A = P_B,71,71,100,8,72,1.0,1.0,1.0,1.0,1.4551915228366852e-11,1.4551915228366852e-11,1.4551915228366852e-11,1.4551915228366852e-11,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181036115657Z.json
20,10,s-p,paired_swap_permutation,,71,71,100,8,72,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__permutation__repeats-100__seed-0__20260817T201341574672Z.json
20,10,s-p-matched,original_binomial_c2st,H0_dist: P_A = P_B,71,35,100,5,36,1.0,1.0,1.0,1.0,1.4551915228366852e-11,1.4551915228366852e-11,1.4551915228366852e-11,1.4551915228366852e-11,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181035904638Z.json
20,10,s-p-matched,paired_mcnemar,H0_dist: P_A = P_B,71,35,100,5,36,0.9997222222222223,1.0,0.9722222222222222,1.0,3.85284423828125e-06,3.814697265625e-06,3.814697265625e-06,7.62939453125e-06,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181036005245Z.json
20,10,s-p-matched,paired_swap_permutation,,71,35,100,5,36,0.9997222222222223,1.0,0.9722222222222222,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__permutation__repeats-100__seed-0__20260817T201117017962Z.json
20,10,s-s,original_binomial_c2st,H0_dist: P_A = P_B,71,35,100,5,36,0.3974999999999999,0.3888888888888889,0.2222222222222222,0.5555555555555556,0.8775695409459877,0.9337509180186316,0.308859658514848,0.9998437244212255,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181036327060Z.json
20,10,s-s,paired_mcnemar,H0_dist: P_A = P_B,71,35,100,5,36,0.4994444444444445,0.5,0.3611111111111111,0.6388888888888888,0.6379296875,0.6875,0.03125,1.0,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181036410369Z.json
