regime,regime_label,n_pairs,method,target_null,reference_valid_in_regime,interpretation,trial_count,rejection_count,rejection_rate,monte_carlo_standard_error,wilson_95_ci_low,wilson_95_ci_high,accuracy_mean,p_value_median
negative_exchangeable,B. I.i.d. exchangeable pairs with strong negative dependence,80,original_binomial_c2st,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,0,0.0,0.0,2.168404344971009e-19,0.0038267584855551234,0.4024125,0.9716677868274395
negative_exchangeable,B. I.i.d. exchangeable pairs with strong negative dependence,80,pair_preserving_binomial,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,138,0.138,0.01090669519148674,0.11800457326997434,0.16076599987356766,0.49792500000000006,0.5444639393869535
negative_exchangeable,B. I.i.d. exchangeable pairs with strong negative dependence,80,paired_mcnemar,H0_dist: P_A = P_B,True,type_i_calibration,1000,41,0.041,0.006270486424512854,0.030364971082098315,0.0551479932076413,0.49792500000000006,0.5626853438097896
negative_exchangeable,B. I.i.d. exchangeable pairs with strong negative dependence,80,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,True,type_i_calibration,1000,39,0.039,0.006122009474020765,0.028658960904180485,0.052869310419501346,0.49792500000000006,0.58
serial_common_state,E. Across-pair dependence,40,original_binomial_c2st,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,989,0.989,0.0032983329122452166,0.9804106042992137,0.9938468259019134,0.8018,9.108291487791575e-05
serial_common_state,E. Across-pair dependence,40,pair_preserving_binomial,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,993,0.993,0.002636474919281427,0.9856216845342334,0.9966051315990092,0.8002999999999999,9.108291487791575e-05
serial_common_state,E. Across-pair dependence,40,paired_mcnemar,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,981,0.981,0.004317290817167639,0.9705155440876868,0.9878031142492091,0.8002999999999999,0.00048828125
serial_common_state,E. Across-pair dependence,40,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,False,sensitivity_to_swap_null_violation_under_H0_dist,1000,989,0.989,0.0032983329122452166,0.9804106042992137,0.9938468259019134,0.8002999999999999,0.005
serial_common_state,E. Across-pair dependence,80,original_binomial_c2st,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,1000,1.0,0.0,0.996173241514445,1.0,0.8318499999999999,3.207570587475561e-10
serial_common_state,E. Across-pair dependence,80,pair_preserving_binomial,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,1000,1.0,0.0,0.996173241514445,1.0,0.8296125,1.5682713450733752e-09
serial_common_state,E. Across-pair dependence,80,paired_mcnemar,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,1000,1.0,0.0,0.996173241514445,1.0,0.8296125,6.542541086673737e-08
serial_common_state,E. Across-pair dependence,80,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,False,sensitivity_to_swap_null_violation_under_H0_dist,1000,1000,1.0,0.0,0.996173241514445,1.0,0.8296125,0.005
